,M
854,0.055829227
855,-0.09578544
856,-0.09031199
857,0.04761905
858,0.07170224
859,-0.074986316
860,-0.1302682
861,-0.01423098
862,0.068418175
863,0.14449918
864,0.07006021
865,-0.14012042
866,-0.12807882
867,0.033935413
868,0.012041599
869,-0.12862617
870,-0.10290093
871,0.0065681445
872,0.15216202
873,0.2545156
874,0.15599343
875,0.13081555
876,0.20799124
877,0.18609743
878,-0.008757526
879,0.040503558
880,0.18719211
881,0.18719211
882,0.119868636
883,-0.009304872
884,-0.05199781
885,-0.053092502
886,0.0065681445
887,0.106732346
888,0.0065681445
889,0.004378763
890,0.26382047
891,0.3727422
892,0.2545156
893,0.100164205
894,-0.018609744
895,0.0021893815
896,-0.007662835
897,-0.23754789
898,-0.25342092
899,-0.042145595
900,0.11603722
901,0.16694035
902,0.0771757
903,-0.0651341
904,-0.01423098
905,0.033935413
906,-0.026272578
907,-0.04597701
908,-0.058565956
909,-0.05801861
910,0.048166394
911,-0.012041599
912,-0.037219487
913,0.009304872
914,-0.14614122
915,-0.36453202
916,-0.38642582
917,-0.29009303
918,-0.17624521
919,-0.051450465
920,-0.010399562
921,-0.058565956
922,-0.044334974
923,0.009852217
924,-0.02736727
925,-0.032293376
926,-0.13191023
927,-0.15106732
928,0.019157087
929,0.045429666
930,-0.14340448
931,-0.06896552
932,0.04159825
933,0.196497
934,0.17898194
935,-0.007662835
936,0.05528188
937,0.22276957
938,0.33223864
939,0.21839081
940,-0.04597701
941,-0.09195402
942,0.13902572
943,0.033388067
944,-0.07334428
945,0.025725232
946,0.07060755
947,0.1302682
948,0.13683635
949,0.05473454
950,0.054187194
951,-0.11001642
952,-0.33333334
953,-0.34701696
954,-0.21072797
955,-0.050355773
956,0.100164205
957,0.1242474
958,0.10235359
959,-0.04378763
960,-0.10892173
961,-0.018062398
962,-0.033388067
963,-0.19813903
964,-0.22276957
965,-0.032293376
966,0.22769567
967,0.19923371
968,0.062397372
969,-0.054187194
970,-0.057471264
971,-0.014778325
972,-0.13355227
973,-0.2605364
974,-0.12151067
975,-0.02846196
976,0.013683635
977,0.0054734536
978,-0.1012589
979,-0.05199781
980,0.019704433
981,0.03284072
982,0.06568144
983,0.13300492
984,0.14942528
985,0.1844554
986,0.18555008
987,0.16967706
988,0.04761905
989,-0.13738368
990,-0.04159825
991,-0.007662835
992,0.04378763
993,0.046524357
994,0.079912424
995,0.1122058
996,0.08812261
997,-0.06622879
998,-0.16803503
999,-0.062397372
1000,-0.0054734536
1001,-0.0892173
1002,-0.12807882
1003,0.024083197
1004,0.15106732
1005,0.07662835
1006,-0.032293376
1007,-0.07279693
1008,0.025725232
1009,0.053092502
1010,-0.07006021
1011,-0.066776134
1012,0.038314175
1013,0.008757526
1014,-0.016967706
1015,-0.06458675
1016,-0.14997263
1017,-0.15599343
1018,-0.08483853
1019,-0.049261082
1020,-0.020799125
1021,-0.03284072
1022,-0.05199781
1023,0.01423098
1024,0.13683635
1025,0.18992884
1026,-0.026272578
1027,-0.22386426
1028,-0.20470718
1029,0.06732348
1030,0.166393
1031,0.11713191
1032,0.1784346
1033,0.15708812
1034,-0.061850026
1035,-0.27203065
1036,-0.3459223
1037,-0.32785988
1038,-0.25177887
1039,-0.20361248
1040,-0.07936508
1041,0.13355227
1042,0.16201423
1043,-0.08374384
1044,-0.24192666
1045,-0.17077176
1046,-0.13081555
1047,-0.16091955
1048,-0.13191023
1049,-0.049261082
1050,-0.027914613
1051,0.07006021
1052,0.15763547
1053,0.07772304
1054,0.052545156
1055,0.07608101
1056,0.06294472
1057,0.12643678
1058,0.10235359
1059,0.012588943
1060,0.039956212
1061,0.15270936
1062,0.18773946
1063,0.041050903
1064,-0.024630541
1065,-0.03776683
1066,-0.02846196
1067,0.03557745
1068,0.023535851
1069,-0.0032840723
1070,-0.0005473454
1071,-0.0065681445
1072,-0.10837439
1073,-0.053639848
1074,0.0060207993
1075,0.06622879
1076,0.0711549
1077,0.03667214
1078,0.07936508
1079,0.08757526
1080,-0.06458675
1081,-0.2293377
1082,-0.16091955
1083,-0.066776134
1084,-0.014778325
1085,-0.0021893815
1086,0.053092502
1087,0.08538588
1088,0.05528188
1089,0.020251779
1090,-0.04871374
1091,-0.12315271
1092,-0.22167487
1093,-0.13957307
1094,-0.0711549
1095,-0.09469075
1096,-0.054187194
1097,0.046524357
1098,0.08210181
1099,0.14012042
1100,0.1182266
1101,-0.043240286
1102,-0.1483306
1103,-0.07608101
1104,0.093596056
1105,0.14614122
1106,0.18555008
1107,0.1904762
1108,0.06403941
1109,-0.007662835
1110,-0.08374384
1111,-0.20087576
1112,-0.2244116
1113,-0.13683635
1114,-0.08429119
1115,0.010399562
1116,0.12205802
1117,0.09688013
1118,-0.01532567
1119,-0.1833607
1120,-0.23590586
1121,-0.26600984
1122,-0.18609743
1123,-0.11494253
1124,-0.12972085
1125,-0.08045977
1126,0.0060207993
1127,0.024083197
1128,-0.054187194
1129,0.045429666
1130,0.22222222
1131,0.24521072
1132,0.12698413
1133,0.05199781
1134,0.030103996
1135,0.026819924
1136,-0.029009305
1137,-0.107279696
1138,-0.1122058
1139,-0.052545156
1140,0.0060207993
1141,0.16256158
1142,0.332786
1143,0.3568692
1144,0.18500273
1145,0.13464697
1146,0.22276957
1147,0.16694035
1148,-0.050355773
1149,-0.11056376
1150,-0.0005473454
1151,0.08264915
1152,0.13136289
1153,0.13902572
1154,0.1904762
1155,0.11548988
1156,-0.11494253
1157,-0.09140668
1158,0.08210181
1159,0.13464697
1160,0.027914613
1161,-0.053639848
1162,-0.048166394
1163,0.0060207993
1164,-0.057471264
1165,-0.17460318
1166,-0.20306513
1167,-0.041050903
1168,0.03448276
1169,0.04269294
1170,0.044334974
1171,0.049261082
1172,0.014778325
1173,-0.011494253
1174,-0.06294472
1175,-0.098522164
1176,-0.0591133
1177,-0.01642036
1178,0.07662835
1179,0.25342092
1180,0.23316912
1181,0.13683635
1182,0.09578544
1183,0.030103996
1184,-0.16803503
1185,-0.39737275
1186,-0.39627805
1187,-0.26546252
1188,-0.11056376
1189,-0.024630541
1190,0.06896552
1191,0.17952928
1192,0.31198686
1193,0.15599343
1194,0.055829227
1195,0.11056376
1196,0.13355227
1197,0.035030104
1198,-0.0065681445
1199,-0.066776134
1200,-0.08538588
1201,-0.03557745
1202,0.093048714
1203,0.093596056
1204,0.08648057
1205,0.1291735
1206,0.13793103
1207,0.050355773
1208,-0.0054734536
1209,0.026819924
1210,-0.0049261083
1211,-0.052545156
1212,-0.060755335
1213,0.0005473454
1214,0.07279693
1215,0.14614122
1216,0.28133553
1217,0.26984128
1218,0.166393
1219,0.03557745
1220,-0.0010946908
1221,-0.013683635
1222,-0.120415986
1223,-0.28133553
1224,-0.21401204
1225,-0.01532567
1226,0.17679256
1227,0.25725234
1228,0.2824302
1229,0.30103996
1230,0.17624521
1231,0.054187194
1232,0.058565956
1233,0.09742748
1234,0.1122058
1235,0.2364532
1236,0.20908593
1237,0.22222222
1238,0.3568692
1239,0.30487138
1240,0.29392448
1241,0.15544608
1242,-0.038314175
1243,-0.02736727
1244,-0.06622879
1245,-0.10892173
1246,-0.036124796
1247,-0.03776683
1248,-0.1351943
1249,-0.3125342
1250,-0.36836344
1251,-0.3437329
1252,-0.3825944
1253,-0.3366174
1254,-0.14012042
1255,-0.2025178
1256,-0.27805144
1257,-0.22331691
1258,-0.20799124
1259,-0.25889435
1260,-0.28188288
1261,-0.29885057
1262,-0.2846196
1263,-0.14012042
1264,-0.013136289
1265,0.045429666
1266,0.042145595
1267,-0.03284072
1268,-0.17022441
1269,-0.20853859
1270,-0.17624521
1271,-0.23207444
1272,-0.1954023
1273,-0.073891625
1274,0.013136289
1275,0.04159825
1276,0.0032840723
1277,0.046524357
1278,0.14285715
1279,-0.0027367268
1280,-0.03065134
1281,0.08976464
1282,0.14559387
1283,0.18609743
1284,0.22879037
1285,0.2014231
1286,0.124794744
1287,0.08264915
1288,0.09688013
1289,0.19485496
1290,0.14559387
1291,0.12151067
1292,0.13245758
1293,0.060755335
1294,0.06732348
1295,0.004378763
1296,-0.09797482
1297,-0.13081555
1298,-0.22276957
1299,-0.10344828
1300,0.033935413
1301,0.14614122
1302,0.20908593
1303,0.21784346
1304,0.08429119
1305,-0.018062398
1306,-0.054187194
1307,-0.03065134
1308,-0.040503558
1309,-0.09578544
1310,0.033935413
1311,0.052545156
1312,0.06568144
1313,0.12205802
1314,0.060755335
1315,-0.01423098
1316,-0.17898194
1317,-0.24302134
1318,-0.16256158
1319,-0.06896552
1320,-0.049261082
1321,0.0027367268
1322,0.11056376
1323,0.14504652
1324,0.166393
1325,0.24192666
1326,0.3459223
1327,0.39518335
1328,0.31089216
1329,0.3546798
1330,0.40831965
1331,0.26984128
1332,0.14668857
1333,-0.045429666
1334,-0.26710454
1335,-0.25615764
1336,-0.19211823
1337,-0.24411604
1338,-0.20470718
1339,-0.066776134
1340,-0.08483853
1341,-0.1773399
1342,-0.2736727
1343,-0.2955665
1344,-0.24521072
1345,-0.09469075
1346,-0.06568144
1347,-0.07662835
1348,0.09031199
1349,0.21455939
1350,0.20032841
1351,0.18719211
1352,0.20306513
1353,0.060207993
1354,-0.16475096
1355,-0.18719211
1356,-0.08538588
1357,-0.030103996
1358,-0.1472359
1359,-0.1893815
1360,-0.066776134
1361,0.046524357
1362,0.022988506
1363,-0.037219487
1364,-0.07006021
1365,-0.113300495
1366,-0.14559387
1367,-0.081007116
1368,0.010399562
1369,-0.032293376
1370,-0.1242474
1371,-0.1182266
1372,-0.0892173
1373,-0.15873016
1374,-0.094143406
1375,0.013683635
1376,0.15763547
1377,0.23918992
1378,0.12588944
1379,0.04159825
1380,-0.14449918
1381,-0.34044883
1382,-0.37821564
1383,-0.3305966
1384,-0.31089216
1385,-0.3097975
1386,-0.23590586
1387,-0.12972085
1388,-0.033388067
1389,-0.113300495
1390,-0.027914613
1391,0.04597701
1392,0.0054734536
1393,0.105637655
1394,0.2977559
1395,0.23152709
1396,0.0892173
1397,0.08429119
1398,0.008757526
1399,-0.031746034
1400,0.06896552
1401,0.15161467
1402,0.06130268
1403,-0.019704433
1404,-0.12534209
1405,-0.12534209
1406,-0.08264915
1407,-0.14285715
1408,-0.23918992
1409,-0.3125342
1410,-0.23097976
1411,-0.061850026
1412,0.07553366
1413,0.24794745
1414,0.3557745
1415,0.46633825
1416,0.44061303
1417,0.3234811
1418,0.26327312
1419,0.29009303
1420,0.30815545
1421,0.15380405
1422,0.059660647
1423,0.1603722
1424,0.23426382
1425,0.15599343
1426,-0.079912424
1427,-0.16201423
1428,-0.105637655
1429,-0.08866995
1430,-0.15216202
1431,-0.093596056
1432,-0.093596056
1433,-0.14942528
1434,-0.166393
1435,-0.0711549
1436,0.031198686
1437,0.02134647
1438,0.039956212
1439,0.12205802
1440,0.17624521
1441,0.1603722
1442,0.12588944
1443,0.07662835
1444,-0.039408866
1445,-0.08976464
1446,-0.14614122
1447,-0.09031199
1448,-0.05528188
1449,-0.0651341
1450,-0.058565956
1451,-0.12588944
1452,-0.05199781
1453,0.026272578
1454,0.06568144
1455,0.05528188
1456,0.07936508
1457,0.27750412
1458,0.37000546
1459,0.25889435
1460,0.2977559
1461,0.28188288
1462,0.28845102
1463,0.2824302
1464,0.25506294
1465,0.24958949
1466,0.23864259
1467,0.12370005
1468,0.010399562
1469,-0.0771757
1470,-0.13902572
1471,-0.16858238
1472,-0.22495896
1473,-0.23481117
1474,-0.25177887
1475,-0.2594417
1476,-0.22276957
1477,-0.18664478
1478,-0.19813903
1479,-0.27203065
1480,-0.23262179
1481,-0.17624521
1482,-0.073891625
1483,0.019704433
1484,-0.057471264
1485,-0.049261082
1486,-0.017515052
1487,-0.06130268
1488,-0.15708812
1489,-0.15216202
1490,-0.08757526
1491,-0.0049261083
1492,0.025177887
1493,-0.100164205
1494,-0.03557745
1495,-0.044334974
1496,-0.11603722
1497,-0.016967706
1498,0.11658456
1499,0.17186645
1500,0.120415986
1501,0.12753147
1502,0.22714832
1503,0.31417623
1504,0.258347
1505,0.12096333
1506,0.06951286
1507,0.018062398
1508,0.022988506
1509,0.01423098
1510,0.011494253
1511,0.037219487
1512,-0.053639848
1513,-0.045429666
1514,-0.06403941
1515,-0.18664478
1516,-0.23973727
1517,-0.26272577
1518,-0.22660099
1519,-0.074438974
1520,0.004378763
1521,0.06951286
1522,0.119321294
1523,0.2244116
1524,0.2474001
1525,0.16201423
1526,0.09085933
1527,0.11767925
1528,0.1603722
1529,0.053092502
1530,-0.12643678
1531,-0.13574165
1532,-0.04269294
1533,0.0032840723
1534,0.009852217
1535,0.074438974
1536,0.033388067
